你的性别是（必填）,你的出生年月是（必填）,你的星座是（必填）,家乡（省）,你的家乡是（省市）,你现在在墨尔本(澳大利亚境内)还是在国内？（必填）,你在CSSA哪个部门？（必填）,你是本科还是研究生？（必填）,你的专业是（必填）,你目前的感情状态是 (✿◡‿◡)？（必填）,你目前想要的状态是(*/ω＼*)（必填）
女,July,狮子座,海南省,海南省海口市,我在墨尔本,宣传部,研究生,"Commerce, economics and management",布谷布谷,和TA9999
男,October,天秤座,山西省,山西省太原市,我在国内,信息部,研究生,Computing and Information,布谷布谷,和TA9999
女,December,摩羯座,福建省,福建省福州市,我在墨尔本,组织部,研究生,其他,孤寡孤寡,保持孤寡
女,May,金牛座,江苏省,江苏省扬州市,我在墨尔本,信息部,本科,Computing and Information,孤寡孤寡,脱离孤寡队伍
男,June,双子座,江苏省,江苏省扬州市,我在国内,人力资源部,研究生,Engineering,布谷布谷,和TA9999
女,September,天秤座,湖南省,湖南省长沙市,我在墨尔本,人力资源部,本科,"Accounting, Finance and Actuarial",孤寡孤寡,脱离孤寡队伍
女,August,狮子座,上海市,上海市,我在国内,宣传部,本科,"Accounting, Finance and Actuarial",布谷布谷,和TA9999
男,November,天蝎座,湖北省,湖北省武汉市,我在墨尔本,外联部,本科,Sciences and mathematics,布谷布谷,和TA9999
男,February,双鱼座,上海市,上海市,我在墨尔本,信息部,本科,Computing and Information,布谷布谷,和TA9999
女,June,双子座,广东省,广东省中山市,我在国内,组织部,本科,"Medicine, dentistry, health and welfare",孤寡孤寡,脱离孤寡队伍
女,December,摩羯座,浙江省,浙江省绍兴市,我在国内,宣传部,研究生,"Commerce, economics and management",孤寡孤寡,保持孤寡
女,August,狮子座,广东省,广东省广州市,我在国内,宣传部,本科,Music,布谷布谷,和TA9999
男,June,双子座,陕西省,陕西省西安市,我在国内,外联部,本科,Computing and Information,孤寡孤寡,脱离孤寡队伍
男,October,天秤座,山东省,山东省济南市,我在墨尔本,信息部,研究生,Computing and Information,孤寡孤寡,保持孤寡
男,July,巨蟹座,北京市,北京市,我在墨尔本,信息部,本科,Computing and Information,布谷布谷,和TA9999
